insured_id,full_name,birth_date,driver_age,profession,annual_income,region
INS_000022,Margaux-Frédérique Bègue,1976-11-06,31,commercial,43000.0,Bretagne
INS_000023,Claire Aubry,1954-03-13,74,médecin,86800.0,Bretagne
INS_000024,Julie Letellier-Mary,1972-05-22,27,retraité,28900.0,Auvergne-Rhône-Alpes
INS_000025,Noémi-Maryse Vasseur,2008-03-25,65,enseignant,31800.0,Hauts-de-France
INS_000026,Pierre Teixeira,1951-02-15,41,technicien,21300.0,Auvergne-Rhône-Alpes
INS_000027,Bertrand Brunet,1984-12-05,21,chauffeur,23400.0,Normandie
INS_000028,Anouk Collin,1969-06-10,58,chauffeur,25800.0,Île-de-France
INS_000029,Jeannine Lenoir,1999-08-18,56,ouvrier,19900.0,Centre-Val de Loire
INS_000030,Zacharie Mace,1952-08-12,34,agriculteur,22400.0,Centre-Val de Loire
INS_000031,Juliette Lecoq-Clerc,1966-10-30,74,cadre supérieur,65800.0,Hauts-de-France
INS_000032,Martin Barbier du Bernard,2005-06-28,67,fonctionnaire,31400.0,Grand Est
INS_000033,Philippe-Emmanuel Guillou,2002-11-23,18,artisan,33100.0,Bourgogne-Franche-Comté
INS_000034,Timothée Guillou de la Brunet,1968-12-15,80,fonctionnaire,39500.0,Occitanie
INS_000035,Richard Merle,2003-07-07,58,sans emploi,10100.0,Auvergne-Rhône-Alpes
INS_000036,Théophile Breton,1976-03-07,56,agriculteur,27800.0,Auvergne-Rhône-Alpes
INS_000037,Jules Le Gall,1960-06-26,67,chef d'entreprise,67900.0,Bourgogne-Franche-Comté
INS_000038,Roland Chevalier-Clément,1991-07-05,56,cadre supérieur,45200.0,Nouvelle-Aquitaine
INS_000039,René Gosselin,1953-04-27,71,cadre supérieur,84500.0,Pays de la Loire
INS_000040,Danielle Aubry,1978-08-23,21,enseignant,35700.0,Auvergne-Rhône-Alpes
INS_000041,Pauline Lecomte de la Delannoy,1965-01-13,22,commercial,51900.0,Centre-Val de Loire
INS_000042,Sabine Blondel,1973-11-04,67,commerçant,46900.0,Île-de-France
INS_000043,Frédéric Andre-Maillot,1946-09-22,51,auto-entrepreneur,33700.0,Bretagne
INS_000044,Henriette Pruvost-Vasseur,1945-11-07,79,ouvrier,23000.0,Auvergne-Rhône-Alpes
INS_000045,Gabriel Mercier,2002-06-10,63,commerçant,38800.0,Auvergne-Rhône-Alpes
INS_000046,Arnaude Buisson,1960-05-23,46,chef d'entreprise,19100.0,Bretagne
INS_000047,Frédérique Gimenez,1953-09-25,39,retraité,25100.0,Île-de-France
INS_000048,Thérèse-Jacqueline Reynaud,1996-04-09,32,commerçant,45400.0,Hauts-de-France
INS_000049,Benoît de Delmas,1972-07-21,32,cadre supérieur,95500.0,Île-de-France
INS_000050,Olivie Bigot,1999-10-27,73,cadre,61100.0,Nouvelle-Aquitaine
INS_000051,Yves Guibert,2007-05-27,31,agriculteur,29100.0,Hauts-de-France
INS_000052,Antoine Antoine,1991-04-11,33,auto-entrepreneur,42800.0,Pays de la Loire
INS_000053,Gérard Olivier,1957-05-19,45,ouvrier,24800.0,Nouvelle-Aquitaine
INS_000054,Christine Briand,1956-12-16,47,ouvrier,26100.0,Normandie
INS_000055,Jeanne Sanchez,1973-04-25,24,cadre,32000.0,Île-de-France
INS_000056,Capucine Girard-Gilles,2008-05-09,69,médecin,16200.0,Normandie
INS_000057,Benjamin Chrétien,1998-11-13,26,enseignant,34700.0,Occitanie
INS_000058,Lucas Vallée,1975-09-22,47,fonctionnaire,44300.0,Auvergne-Rhône-Alpes
INS_000059,Anne Gaillard,1969-04-10,53,commercial,17700.0,Île-de-France
INS_000060,Julie De Sousa,1963-05-15,71,commerçant,48400.0,Île-de-France
INS_000061,Véronique Meyer-Aubert,1964-02-03,28,commercial,60900.0,Nouvelle-Aquitaine
INS_000062,Stéphane Guyon,1979-07-23,31,auto-entrepreneur,19300.0,Normandie
INS_000063,Andrée Girard,1982-03-15,42,cadre,52500.0,Auvergne-Rhône-Alpes
INS_000064,Constance de Grégoire,1950-06-12,36,retraité,22300.0,Occitanie
INS_000065,Arthur Valentin,1949-09-05,30,commerçant,28900.0,Auvergne-Rhône-Alpes
INS_000066,Luc Mathieu-Colas,1960-11-28,55,cadre,37300.0,Provence-Alpes-Côte d'Azur
INS_000067,Alice Legendre de Humbert,1986-10-24,55,cadre,51900.0,Occitanie
INS_000068,Margaux-Josette Martins,1987-08-05,28,agriculteur,24600.0,Île-de-France
INS_000069,Isabelle Aubry,1970-05-02,56,agriculteur,33600.0,Île-de-France
INS_000070,Michel Gomes de Petit,1974-04-09,43,enseignant,33900.0,Île-de-France
INS_000071,Capucine-Arnaude Tanguy,1958-10-29,23,enseignant,30500.0,Nouvelle-Aquitaine
INS_000072,Christophe-Jérôme Muller,2000-10-16,38,agriculteur,26600.0,Bourgogne-Franche-Comté
INS_000073,Lorraine Barbier,1973-01-02,34,étudiant,8300.0,Nouvelle-Aquitaine
INS_000074,Madeleine Raymond-Guibert,1978-09-21,47,infirmier,26200.0,Auvergne-Rhône-Alpes
INS_000075,Lucy Dupré-Duval,2004-07-20,54,commercial,56700.0,Centre-Val de Loire
INS_000076,Gilles Ferreira,2001-06-14,52,commercial,41000.0,Auvergne-Rhône-Alpes
INS_000077,Colette Maillard-Carre,1983-07-03,22,fonctionnaire,40000.0,Bretagne
INS_000078,Emmanuelle Torres,1985-05-10,36,chef d'entreprise,85600.0,Île-de-France
INS_000079,Philippe-Patrick Deschamps,2002-06-08,69,commerçant,32100.0,Grand Est
INS_000080,Benjamin Couturier,1972-01-31,60,cadre supérieur,43700.0,Pays de la Loire
INS_000081,Alphonse-Adrien Le Roux,1993-12-24,74,infirmier,32100.0,Île-de-France
INS_000082,Édouard-Matthieu Courtois,1989-11-09,74,artisan,32700.0,Île-de-France
INS_000083,Adrienne Marie-Sanchez,2004-12-08,31,commerçant,44800.0,Provence-Alpes-Côte d'Azur
INS_000084,Richard Da Silva,1997-12-23,61,étudiant,12700.0,Grand Est
INS_000085,Claudine-Philippine Rodriguez,1948-01-13,76,fonctionnaire,28900.0,Normandie
INS_000086,Alice Pelletier,1958-08-20,58,commercial,39700.0,Occitanie
INS_000087,Xavier Henry-Monnier,1994-07-19,26,fonctionnaire,41900.0,Grand Est
INS_000088,Colette Gomez,1999-11-14,28,fonctionnaire,37000.0,Provence-Alpes-Côte d'Azur
INS_000089,Lucas Laurent,1956-09-12,25,commerçant,32700.0,Île-de-France
INS_000090,Olivie Laroche,1999-11-01,52,chauffeur,18600.0,Île-de-France
INS_000091,Grégoire Leroux-Boutin,1952-03-17,26,chef d'entreprise,50200.0,Île-de-France
INS_000092,Noël Louis,1957-12-21,75,chef d'entreprise,56600.0,Bourgogne-Franche-Comté
INS_000093,Marine Schneider,1997-02-03,33,cadre,60300.0,Grand Est
INS_000094,Frédéric Laurent-Delmas,1957-07-26,67,chef d'entreprise,52800.0,Hauts-de-France
INS_000095,Laurence Muller,2006-04-25,77,ouvrier,32200.0,Bourgogne-Franche-Comté
INS_000096,Jérôme-Tristan Grégoire,1970-07-30,80,sans emploi,10900.0,Pays de la Loire
INS_000097,Margot Leroy-Ferreira,2000-08-26,65,sans emploi,12700.0,Bourgogne-Franche-Comté
INS_000098,Emmanuel-Stéphane Aubry,1947-10-23,69,ouvrier,23200.0,Grand Est
INS_000099,Renée Barre Le Nguyen,1983-08-04,24,enseignant,30900.0,Nouvelle-Aquitaine
INS_000100,Céline du Verdier,1957-05-16,72,cadre,78200.0,Occitanie
INS_000101,Martin Martin,1978-02-25,37,étudiant,11800.0,Normandie
INS_000102,Élodie Marchal-Perret,1949-10-22,32,enseignant,25900.0,Île-de-France
INS_000103,Margaux Dupré,1998-10-28,22,étudiant,8000.0,Centre-Val de Loire
INS_000104,Philippe Ruiz du Millet,1970-10-01,40,fonctionnaire,38900.0,Grand Est
INS_000105,Robert Rodriguez de la De Oliveira,1987-04-16,39,technicien,24200.0,Bourgogne-Franche-Comté
INS_000106,Diane Chauvet,1981-04-02,74,artisan,14100.0,Centre-Val de Loire
INS_000107,Adélaïde Bailly,1963-06-23,20,sans emploi,8000.0,Île-de-France
INS_000108,Margot Turpin,1973-03-25,40,ouvrier,17000.0,Provence-Alpes-Côte d'Azur
INS_000109,Pierre du Guyon,1956-02-02,25,médecin,13700.0,Nouvelle-Aquitaine
INS_000110,Guy Buisson,1987-03-22,34,étudiant,14500.0,Île-de-France
INS_000111,Margaret Morin de la Maillet,1964-12-15,52,ouvrier,35400.0,Provence-Alpes-Côte d'Azur
INS_000112,David de Lambert,1960-10-28,41,étudiant,10100.0,Occitanie
INS_000113,Arnaude Pineau,1971-07-05,25,médecin,53600.0,Provence-Alpes-Côte d'Azur
INS_000114,Élise-Nathalie Costa,1970-07-30,50,infirmier,24800.0,Auvergne-Rhône-Alpes
INS_000115,Victor Lagarde,1945-09-30,53,ouvrier,20400.0,Île-de-France
INS_000116,Marcel Vasseur,1956-06-24,60,ouvrier,30900.0,Bourgogne-Franche-Comté
INS_000117,Susan de Pascal,1961-02-05,53,sans emploi,9500.0,Normandie
INS_000118,Michel Lucas,1995-11-21,36,infirmier,27200.0,Auvergne-Rhône-Alpes
INS_000119,Margaud du Raymond,1996-09-29,31,médecin,53600.0,Hauts-de-France
INS_000120,Pénélope du Leroux,1992-04-01,60,sans emploi,12900.0,Île-de-France
INS_000121,Stéphanie Poirier,1992-10-05,23,agriculteur,20800.0,Pays de la Loire
INS_000122,Raymond-Patrick Toussaint,1960-06-21,61,enseignant,24900.0,Auvergne-Rhône-Alpes
INS_000123,Astrid Delannoy,1963-05-26,80,étudiant,10700.0,Occitanie
INS_000124,Jacques-Hugues Gimenez,1950-06-23,47,commercial,42900.0,Nouvelle-Aquitaine
INS_000125,Gabriel Jacob,1989-02-12,43,étudiant,9200.0,Auvergne-Rhône-Alpes
INS_000126,Arthur du Cordier,1966-03-30,75,cadre supérieur,50700.0,Provence-Alpes-Côte d'Azur
INS_000127,Patricia Bonnet,1958-06-06,69,artisan,36500.0,Bourgogne-Franche-Comté
INS_000128,Nath Pires,1982-03-13,47,agriculteur,21100.0,Île-de-France
INS_000129,Sébastien Gillet,1975-06-13,26,enseignant,34700.0,Pays de la Loire
INS_000130,Lucy Chrétien,1969-12-19,53,agriculteur,25500.0,Hauts-de-France
INS_000131,Geneviève Coulon,1959-03-23,50,retraité,14700.0,Occitanie
INS_000132,Véronique Leroy,1969-11-23,46,commerçant,22500.0,Bretagne
INS_000133,Danielle Bigot,2003-05-01,71,auto-entrepreneur,12100.0,Grand Est
INS_000134,Alexandrie Carlier de Perez,1985-11-22,49,agriculteur,33200.0,Grand Est
INS_000135,Nicolas Vidal,1948-07-26,33,fonctionnaire,23200.0,Auvergne-Rhône-Alpes
INS_000136,Marguerite Lecomte,1974-01-17,75,médecin,94600.0,Hauts-de-France
INS_000137,Monique Lopes,1992-10-10,27,chauffeur,29400.0,Provence-Alpes-Côte d'Azur
INS_000138,Jeannine Faure,1975-01-11,44,commercial,49600.0,Nouvelle-Aquitaine
INS_000139,Anastasie Marty-Hubert,1986-05-11,71,commerçant,32700.0,Occitanie
INS_000140,Alexandre Hoarau,1957-12-16,72,cadre supérieur,71500.0,Bretagne
INS_000141,Thierry Brunet,1960-06-05,37,technicien,13400.0,Provence-Alpes-Côte d'Azur
INS_000142,Céline Thibault,2005-02-08,52,ouvrier,25700.0,Provence-Alpes-Côte d'Azur
INS_000143,Joséphine Gosselin,1968-08-21,49,commerçant,47900.0,Auvergne-Rhône-Alpes
INS_000144,Céline Merle de la Langlois,1952-03-17,49,ouvrier,13800.0,Île-de-France
INS_000145,Honoré Bruneau,1988-01-27,64,médecin,58200.0,Île-de-France
INS_000146,Nicole Auger,1957-11-22,76,retraité,12600.0,Île-de-France
INS_000147,Jacqueline-Caroline Grenier,1994-01-24,54,commerçant,52800.0,Grand Est
INS_000148,Célina Moreno de Perrot,1978-12-18,59,commercial,42000.0,Occitanie
INS_000149,Antoinette Guillou,1986-03-12,38,retraité,23900.0,Auvergne-Rhône-Alpes
INS_000150,Marc Camus,1952-01-18,39,médecin,97600.0,Pays de la Loire
INS_000151,Suzanne Neveu,1955-01-14,44,technicien,27000.0,Auvergne-Rhône-Alpes
INS_000152,Raymond Gilles,1962-05-31,48,commercial,69000.0,Île-de-France
INS_000153,Valérie Turpin-Nguyen,1997-06-02,32,commerçant,73000.0,Grand Est
INS_000154,Juliette-Margot Moulin,1997-09-25,66,cadre,63900.0,Île-de-France
INS_000155,Guillaume Lebreton,1960-10-05,27,enseignant,32400.0,Auvergne-Rhône-Alpes
INS_000156,Monique Marques,1947-03-17,60,auto-entrepreneur,29900.0,Île-de-France
INS_000157,Édith Coulon,1958-10-06,41,étudiant,8000.0,Île-de-France
INS_000158,Jean-Guillaume Godard,1989-07-28,67,artisan,37000.0,Pays de la Loire
INS_000159,Roger-Aimé Blondel,2005-02-15,37,infirmier,30900.0,Hauts-de-France
INS_000160,Georges Fouquet,1971-01-02,43,technicien,31000.0,Bourgogne-Franche-Comté
INS_000161,Isabelle Blot-Ollivier,1986-02-02,58,étudiant,15400.0,Auvergne-Rhône-Alpes
INS_000162,Sophie Durand,1951-04-06,72,infirmier,33500.0,Provence-Alpes-Côte d'Azur
INS_000163,Luc Jacquot-Berger,1964-09-09,20,artisan,39400.0,Nouvelle-Aquitaine
INS_000164,Michèle-Thérèse Lenoir,1978-11-06,60,ouvrier,17800.0,Nouvelle-Aquitaine
INS_000165,Margot Benard,1989-09-05,44,agriculteur,27000.0,Normandie
INS_000166,Honoré-Gilbert Grondin,1952-12-31,45,artisan,33500.0,Centre-Val de Loire
INS_000167,Hugues de Bernier,1979-02-27,64,retraité,20300.0,Hauts-de-France
INS_000168,Étienne Fabre,1991-12-07,57,fonctionnaire,26800.0,Pays de la Loire
INS_000169,Théodore-Rémy Godard,1963-03-25,70,commerçant,40600.0,Provence-Alpes-Côte d'Azur
INS_000170,Étienne Collet,1959-09-24,38,fonctionnaire,26200.0,Normandie
INS_000171,Henri Garcia,1990-01-02,66,commercial,37600.0,Occitanie
INS_000172,Guillaume Lambert,2006-10-12,39,technicien,37500.0,Île-de-France
INS_000173,Luce Rocher-Marchand,1985-08-02,69,médecin,87200.0,Auvergne-Rhône-Alpes
INS_000174,Caroline Richard,1981-07-25,74,fonctionnaire,40000.0,Hauts-de-France
INS_000175,Valentine Besnard,1966-11-11,30,fonctionnaire,25900.0,Île-de-France
INS_000176,Gilbert Martel,1952-08-02,49,ouvrier,21900.0,Hauts-de-France
INS_000177,Luc Marin,1950-01-24,49,enseignant,28800.0,Occitanie
INS_000178,Denis Gérard,1996-07-02,23,cadre supérieur,43200.0,Auvergne-Rhône-Alpes
INS_000179,Augustin Menard de Pascal,1993-07-23,55,technicien,27900.0,Nouvelle-Aquitaine
INS_000180,Hélène Diallo du Lebreton,2002-08-20,51,commerçant,26000.0,Nouvelle-Aquitaine
INS_000181,Théodore Gilbert Le Colas,1984-07-10,35,commerçant,26600.0,Auvergne-Rhône-Alpes
INS_000182,Capucine Ledoux de la Toussaint,1958-09-10,25,enseignant,40200.0,Provence-Alpes-Côte d'Azur
INS_000183,Édouard Dupuis,1956-05-07,66,médecin,102600.0,Provence-Alpes-Côte d'Azur
INS_000184,Édouard Bernard,1971-02-19,31,étudiant,13400.0,Provence-Alpes-Côte d'Azur
INS_000185,Sylvie Klein de Grondin,1963-07-20,51,fonctionnaire,31500.0,Hauts-de-France
INS_000186,Michel Guérin de la Aubry,1995-01-12,71,artisan,8000.0,Auvergne-Rhône-Alpes
INS_000187,Élodie-Pauline Noël,1979-09-15,63,enseignant,28700.0,Hauts-de-France
INS_000188,Grégoire Blanchard,1949-11-24,20,fonctionnaire,40200.0,Centre-Val de Loire
INS_000189,Honoré Valentin,1992-08-01,58,commerçant,28600.0,Normandie
INS_000190,Louise-Sabine Denis,1974-12-05,24,auto-entrepreneur,51200.0,Bretagne
INS_000191,Luc Maillard du Navarro,1950-06-20,29,infirmier,24700.0,Centre-Val de Loire
INS_000192,Martin Guyon,1965-09-14,78,fonctionnaire,36600.0,Normandie
INS_000193,Alexandre-Benjamin Rolland,2005-12-31,22,artisan,40300.0,Hauts-de-France
INS_000194,Aimée-Juliette Verdier,1947-12-07,27,cadre,38400.0,Île-de-France
INS_000195,Noël Paul,1986-06-11,53,infirmier,33200.0,Pays de la Loire
INS_000196,Éric-Stéphane Nguyen,1985-05-23,67,enseignant,34300.0,Hauts-de-France
INS_000197,Bernadette Lelièvre,1967-04-27,55,retraité,26200.0,Centre-Val de Loire
INS_000198,Margot Leconte,1951-12-27,54,infirmier,27700.0,Grand Est
INS_000199,Jacques Bouchet,1989-02-06,31,artisan,42800.0,Auvergne-Rhône-Alpes
INS_000200,Vincent Maréchal de De Sousa,1950-12-12,28,commercial,37400.0,Auvergne-Rhône-Alpes
INS_000201,Isaac-Bertrand Leleu,1970-11-11,46,commerçant,39000.0,Provence-Alpes-Côte d'Azur
INS_000202,Adélaïde du Pasquier,1948-10-24,36,auto-entrepreneur,28300.0,Île-de-France
INS_000203,Maryse du Toussaint,1973-03-31,47,infirmier,27900.0,Île-de-France
INS_000204,François Da Costa,1980-01-01,77,enseignant,23000.0,Auvergne-Rhône-Alpes
INS_000205,Matthieu Rocher du Rivière,1947-03-21,59,étudiant,8000.0,Île-de-France
INS_000206,Isabelle Lacombe de la Langlois,1980-02-07,70,fonctionnaire,39500.0,Île-de-France
INS_000207,Odette Morin-Jean,2007-11-29,65,cadre,58500.0,Normandie
INS_000208,Nicolas Lemaire,1986-03-16,46,infirmier,33700.0,Île-de-France
INS_000209,Paul Auger,1963-10-15,50,infirmier,26300.0,Hauts-de-France
INS_000210,Marc-Olivier Georges,1960-10-02,23,retraité,8400.0,Hauts-de-France
INS_000211,Claudine Jacob-Aubert,2003-06-24,19,ouvrier,23300.0,Île-de-France
INS_000212,Christiane de Baron,1994-01-29,66,cadre supérieur,42900.0,Grand Est
INS_000213,Marianne Guillou,1962-03-25,29,fonctionnaire,23000.0,Occitanie
INS_000214,Guy Pages,1964-03-17,76,retraité,17300.0,Auvergne-Rhône-Alpes
INS_000215,Victoire-Clémence Cohen,1979-05-01,23,ouvrier,20100.0,Occitanie
INS_000216,Margaret Courtois,1993-06-17,39,ouvrier,19600.0,Nouvelle-Aquitaine
INS_000217,Susanne Lebrun,2000-03-08,62,artisan,41700.0,Occitanie
INS_000218,Sébastien Jacob-Rey,1999-04-30,70,technicien,25100.0,Pays de la Loire
INS_000219,Amélie Prévost,1992-04-25,38,cadre,39500.0,Île-de-France
INS_000220,Nathalie Dupré,1995-04-27,73,technicien,31700.0,Hauts-de-France
INS_000221,Paul Da Silva,1953-05-09,44,cadre supérieur,56300.0,Île-de-France
INS_000222,Margot-Capucine Besnard,1951-09-06,41,agriculteur,17500.0,Grand Est
INS_000223,Agathe Mace,1954-06-25,31,auto-entrepreneur,16100.0,Auvergne-Rhône-Alpes
INS_000224,Auguste Lelièvre,1994-08-20,77,chauffeur,18800.0,Auvergne-Rhône-Alpes
INS_000225,Jean-Thierry Jacquot,1970-06-10,56,auto-entrepreneur,47400.0,Pays de la Loire
INS_000226,Jacques Parent,1999-07-16,37,sans emploi,19400.0,Hauts-de-France
INS_000227,Margaud Toussaint,1990-09-05,71,commerçant,29000.0,Bretagne
INS_000228,Alex Maurice,1949-09-16,78,retraité,24300.0,Île-de-France
INS_000229,Gabriel Letellier de Gay,2007-01-13,50,chauffeur,16500.0,Provence-Alpes-Côte d'Azur
INS_000230,Matthieu Brun,1989-02-13,71,ouvrier,24100.0,Occitanie
INS_000231,Alphonse Germain,1995-07-23,42,auto-entrepreneur,28500.0,Auvergne-Rhône-Alpes
INS_000232,Joseph Besson du Rodrigues,1960-10-13,65,agriculteur,40600.0,Bretagne
INS_000233,Édith Picard,1956-06-05,44,commercial,36500.0,Nouvelle-Aquitaine
INS_000234,Monique Legendre de la Mahe,2002-11-28,35,agriculteur,45400.0,Normandie
INS_000235,Gabriel Pinto,1985-08-02,55,infirmier,28600.0,Centre-Val de Loire
INS_000236,Joséphine Martineau,1945-12-28,73,auto-entrepreneur,9200.0,Île-de-France
INS_000237,Louise Labbé,1979-11-01,66,commerçant,24600.0,Hauts-de-France
INS_000238,Matthieu Barre,2007-08-15,77,retraité,22500.0,Nouvelle-Aquitaine
INS_000239,Timothée Lamy Le Pineau,1998-08-27,42,étudiant,12900.0,Auvergne-Rhône-Alpes
INS_000240,Léon du Gautier,1960-05-05,20,ouvrier,23600.0,Auvergne-Rhône-Alpes
INS_000241,Martine-Lucie Bonnin,1963-12-31,42,auto-entrepreneur,22900.0,Centre-Val de Loire
INS_000242,Laure Petit,1981-01-19,49,chauffeur,15500.0,Centre-Val de Loire
INS_000243,Thibaut Vallet,1976-09-10,73,chauffeur,18000.0,Île-de-France
INS_000244,Gabriel Seguin Le Vasseur,1985-07-04,24,retraité,21900.0,Hauts-de-France
INS_000245,Jeannine Potier de la Techer,1951-07-09,73,retraité,25300.0,Grand Est
INS_000246,Honoré Besnard,1947-07-02,22,chauffeur,26300.0,Occitanie
INS_000247,Christelle Robin,2002-09-15,59,fonctionnaire,28500.0,Île-de-France
INS_000248,Patricia Roger,1958-01-18,72,médecin,112600.0,Grand Est
INS_000249,Mathilde Laporte-Charrier,2002-12-13,63,commerçant,28500.0,Bretagne
INS_000250,Gilbert Leduc,2006-05-06,73,auto-entrepreneur,34000.0,Hauts-de-France
INS_000251,Jean Noël du Sanchez,1954-04-07,36,commercial,41700.0,Centre-Val de Loire
INS_000252,Yves Ramos-Parent,2007-02-19,45,commercial,58100.0,Centre-Val de Loire
INS_000253,Mathilde Robin-Delaunay,1946-04-11,75,artisan,17700.0,Île-de-France
INS_000254,Chantal De Sousa-Tessier,1987-10-15,68,médecin,93300.0,Île-de-France
INS_000255,Stéphane-Laurent Diaz,2004-08-21,51,chef d'entreprise,53100.0,Nouvelle-Aquitaine
INS_000256,Yves Rey,1975-02-07,28,sans emploi,13600.0,Île-de-France
INS_000257,Marguerite Bourdon de la Jourdan,1949-05-19,76,technicien,26200.0,Hauts-de-France
INS_000258,Madeleine Delahaye,1971-02-14,47,enseignant,29000.0,Grand Est
INS_000259,Alphonse Morel,1964-07-28,69,retraité,22000.0,Occitanie
INS_000260,Céline Pereira,1960-03-10,61,infirmier,30700.0,Hauts-de-France
INS_000261,Christiane Chevallier-De Sousa,1968-10-09,55,commercial,29700.0,Auvergne-Rhône-Alpes
INS_000262,Paulette Coste-Bernier,1991-03-05,62,ouvrier,25600.0,Auvergne-Rhône-Alpes
INS_000263,Capucine Camus,1984-03-08,48,infirmier,31500.0,Île-de-France
INS_000264,Alfred-Julien Carpentier,1973-05-01,54,technicien,36600.0,Nouvelle-Aquitaine
INS_000265,Jules Perrin-Torres,1968-07-16,80,infirmier,34200.0,Normandie
INS_000266,Anne Chauvin,1962-10-12,35,technicien,29700.0,Île-de-France
INS_000267,Michel Robin,1987-02-25,71,cadre,73000.0,Bretagne
INS_000268,Aimée Girard Le Berger,2007-09-11,67,infirmier,25600.0,Pays de la Loire
INS_000269,Emmanuelle-Antoinette Salmon,1980-04-24,34,chef d'entreprise,68800.0,Grand Est
INS_000270,Gabrielle-Hortense Boulanger,1994-03-08,58,chauffeur,29800.0,Île-de-France
INS_000271,Adélaïde Baron de la Dumont,1979-06-07,55,cadre,46100.0,Nouvelle-Aquitaine
INS_000272,Bertrand Peltier,1999-12-26,23,chauffeur,32000.0,Bretagne
INS_000273,Aimé Pelletier,1995-03-03,26,médecin,79800.0,Pays de la Loire
INS_000274,Théodore Breton-Durand,1956-05-17,51,chef d'entreprise,46400.0,Occitanie
INS_000275,Christophe Traore,1971-12-02,70,fonctionnaire,38000.0,Bourgogne-Franche-Comté
INS_000276,Arthur Ollivier,1973-08-22,65,infirmier,26600.0,Bretagne
INS_000277,Catherine Sauvage,1977-02-20,66,artisan,30300.0,Centre-Val de Loire
INS_000278,Amélie Petitjean Le Albert,1985-12-05,79,technicien,30500.0,Normandie
INS_000279,Antoine Voisin,1998-10-12,18,commerçant,20400.0,Auvergne-Rhône-Alpes
INS_000280,Catherine Marin,1990-04-13,47,artisan,50900.0,Nouvelle-Aquitaine
INS_000281,Arnaude Faure,1965-09-10,78,fonctionnaire,22200.0,Nouvelle-Aquitaine
INS_000282,Arthur Marchand,1962-09-22,48,enseignant,26300.0,Île-de-France
INS_000283,Marguerite-Monique Godard,1978-10-28,59,commerçant,28300.0,Île-de-France
INS_000284,Claude Texier,1972-07-02,76,retraité,29300.0,Provence-Alpes-Côte d'Azur
INS_000285,Victor Gilles,2000-09-10,20,ouvrier,25100.0,Auvergne-Rhône-Alpes
INS_000286,Gabrielle Perret-Sauvage,2001-05-07,25,auto-entrepreneur,30000.0,Île-de-France
INS_000287,Maggie De Sousa,1970-07-09,60,commerçant,48900.0,Bourgogne-Franche-Comté
INS_000288,Hugues Launay,1965-02-01,44,commerçant,50400.0,Hauts-de-France
INS_000289,Julien-Denis Torres,2003-07-19,71,chauffeur,32600.0,Occitanie
INS_000290,Benjamin Clément,1951-04-10,78,ouvrier,19200.0,Bourgogne-Franche-Comté
INS_000291,Julien Dumont,1980-06-13,46,cadre,48200.0,Bourgogne-Franche-Comté
INS_000292,Margot-Chantal Bouchet,1967-09-04,24,chef d'entreprise,45500.0,Centre-Val de Loire
INS_000293,Anastasie Hervé,1983-03-24,40,chef d'entreprise,8000.0,Île-de-France
INS_000294,Caroline Verdier,1977-05-14,30,fonctionnaire,28900.0,Centre-Val de Loire
INS_000295,Vincent Leduc,1959-07-12,58,retraité,25500.0,Hauts-de-France
INS_000296,Jérôme Berthelot,1968-07-21,21,cadre supérieur,77500.0,Pays de la Loire
